description,institution,startMonth,startYear,endMonth,endYear,location,language,details
Data Analysis of Course Evaluations at the Center for the Study of Co-Design,Osaka University,August,2023,September,2023,"Osaka, Japan",Japanese,
Data Analysis of Course Evaluations at the Center for the Study of Co-Design,Osaka University,August,2022,September,2022,"Osaka, Japan",Japanese,
